拼音,6星干员,5星干员,4星干员,3星干员,2星干员,1星干员,成语
sheng,圣约送葬人,,,,,,爱生恶死 爱之欲其生 安生服业 百舌之声 百死一生 百战百胜 班师得胜 半生半熟 半生不熟 半死半生 悲不自胜 不分胜负 不可胜道 不可胜计 不可胜记 不可胜纪 不可胜数 不可胜算 不可胜言 不声不气 不声不响 不胜其苦 不以一眚掩大德 铲迹销声 沉声静气 乘利席胜 乘胜逐北 齿颊生香 出奇制胜 出奇致胜 初生犊 初生之犊 雏凤清声 触景生情 触手生春 大放悲声 大音希声 低声细语 低声下气 低声哑气 递胜递负 斗升之水 度己以绳 防不胜防 吠形吠声 分烟析生 愤不欲生 风声鹤唳 锋镝余生 冯生弹铗 各安生业 好生之德 好声好气 鹤唳风声 鹤唳猿声 后生可畏 后生小子 回生起死 祸福相生 即景生情 几不欲生 继继绳绳 假誉驰声 见景生情 见事风生 见事生风 娇声娇气 劫后余生 借景生情 九死一生 久负盛名 克敌制胜 枯木生花 枯树生花 枯树生华 枯杨生稊 蓝田生玉 犁生髐角 理不胜辞 力不自胜 力竭声嘶 灵丹圣药 柳圣花神 龙生九子 马革盛尸 埋声晦迹 卖文为生 美不胜收 靡靡之声 名山胜水 名声籍甚 名胜古迹 默不作声 木朽蛀生 匿迹销声 屏声息气 七孔生烟 七生七死 七死七生 旗开得胜 起死回生 气竭声嘶 气竭声澌 泣不成声 千生万劫 千生万死 情急智生 戎马生郊 戎马生涯 生不逢辰 生不逢时 生不遇时 生机勃勃 生寄死归 生老病死 生灵涂地 生气勃勃 生荣死哀 生生不息 生生不已 生生世世 生生死死 生死不渝 生死未卜 生死相依 生死予夺 生死之交 声价十倍 声气相求 声势浩大 声嘶力竭 声威大震 声希味淡 声振林木 胜读十年书 鼪鼯之径 鼪鼬之迳 绳墨之言 绳愆纠谬 绳愆纠缪 省身克己 圣神文武 盛极一时 盛食厉兵 十生九死 十死一生 十战十胜 食生不化 书生之见 数不胜数 死里求生 死里逃生 死声唃气 死声活气 死声淘气 虽死犹生 随声附和 随声是非 台阁生风 韬声匿迹 天生地设 天生丽质 天生天化 天生尤物 荼毒生灵 晚生后学 万赖无声 万籁无声 万死一生 尾生抱柱 慰情胜无 闻声相思 无端生事 无声无臭 无声无息 无事生非 无事生事 五谷不升 物腐虫生 喜不自胜 下气怡声 相生相成 相生相克 相因相生 向声背实 消声匿迹 销声匿迹 小子后生 行不胜衣 休明盛世 休声美誉 休养生息 朽木生花 虚室生白 寻事生非 掞藻飞声 燕颔书生 养生丧死 养生送死 养生之道 妖不胜德 一吠百声 一谷不升 一介书生 一生九死 一生一代 一生一世 一室生春 一死一生 怡声下气 遗芬剩馥 遗声余价 引绳棋布 优胜劣败 忧盛危明 有生以来 有生之年 有声没气 有声无气 有声无实 又生一秦 鱼生空釜 逾绳越契 遇事生端 遇事生风 缘文生义 造言生事 造谣生非 造谣生事 战无不胜 枕方寝绳 枕石寝绳 铮铮有声 正声雅音 正视绳行 至圣至明 掷地赋声 掷地有声 重生父母 重熙累盛 捉生替死
shi,史尔特尔,狮蝎 石棉 蚀清 诗怀雅 食铁兽,石英,史都华德,,,哀梨蒸食 爱不释手 安室利处 暗昧之事 暗室不欺 暗室求物 敖世轻物 傲睨一世 傲世轻物 白屋之士 白衣秀士 百不失一 百年好事 百世不磨 百世不易 百世流芳 百世流芬 百世师 百世之利 百世之师 百事大吉 百事无成 百无是处 百无一失 百无一是 拜赐之师 班师得胜 班师回俯 板板六十四 版版六十四 宝珠市饼 饱谙世故 饱经世变 饱经世故 饱学之士 抱枝拾叶 北辕适楚 北辕适粤 背惠食言 便宜施行 便宜行事 冰消雪释 博闻多识 不安其室 不安于室 不吃烟火食 不打不成相识 不打不相识 不待蓍龟 不分玉石 不合时宜 不遑暇食 不经世故 不可收拾 不可一世 不欺闇室 不欺暗室 不失圭撮 不失毫厘 不失时机 不失黍絫 不时之须 不时之需 不识不知 不识大体 不识好歹 不识起倒 不识时务 不识泰山 不识之无 不食烟火 不食之地 不世之业 不事边幅 不晓世务 不学无识 不知寝食 不知世务 布衣粝食 布衣蔬食 仓皇失措 藏器待时 趁风使柁 成败得失 乘时乘势 乘势使气 鸱鸦嗜鼠 驰马试剑 持戈试马 尺板斗食 侈衣美食 出师不利 出师无名 出师有名 触目皆是 春花秋实 春华秋实 此事体大 大千世界 大是大非 待时守分 儋石之储 胆小怕事 倒行逆施 盗名暗世 盗名欺世 盗食致饱 道不拾遗 道无拾遗 得不补失 得马失马 得失成败 得失荣枯 得失相半 斗方名士 斗酒学士 独步一时 独是独非 独行其是 笃实好学 杜默为诗 短见薄识 多事之秋 掇青拾紫 方员可施 放眼世界 菲食薄衣 匪石匪席 肺石风清 焚枯食淡 焚尸扬灰 忿世嫉俗 愤时疾俗 愤世疾俗 愤世嫉俗 风流韵事 风靡一时 风行一时 风行一世 蜂合豕突 逢时遇节 奉行故事 肤见谫识 肤见謭识 浮石沉木 福为祸始 俯拾地芥 俯拾即是 俯拾皆是 负石赴河 傅粉施朱 富家大室 富室大家 各式各样 各司其事 各行其是 顾小失大 归十归一 佹得佹失 鬼设神使 海枯石烂 寒腹短识 蒿目时艰 好事多磨 好事多悭 好事天悭 好事之徒 好为事端 涸石烂 褐衣蔬食 鹤鸣之士 红白喜事 红叶题诗 闳识孤怀 鸿鷑凤逝 侯服玉食 花花世界 花阶柳市 花街柳市 画意诗情 荒时暴月 会逢其适 货真价实 惑世盗名 击钵催诗 饥不遑食 饥不暇食 机不可失 机事不密 鸡虫得失 鸡鹜争食 积非成是 绩学之士 集矢之的 掎角之势 既成事实 家无担石 家无儋石 减师半德 见风使舵 见风是雨 见机行事 见经识经 见精识精 见时知几 见豕负涂 见事风生 见事生风 见噎废食 鉴机识变 皎阳似火 矫情饰行 矫世变俗 矫世厉俗 矫世励俗 教一识百 嗟来之食 洁清自矢 桀骜自恃 解兵释甲 解甲休士 解衣推食 解疑释惑 经史百子 惊慌失措 惊皇失措 惊惶失措 惊世骇目 惊世骇俗 惊世震俗 敬事不暇 敬事后食 九变十化 九故十亲 九流十家 酒后失言 酒食地狱 酒食征逐 救时厉俗 开花结实 刻不待时 空室清野 孔席不适 揆理度势 揆情审势 揆时度势 来好息师 来世不可待 兰芷之室 劳师糜饷 劳师袭远 牢什古子 老马识途 老于世故 离世异俗 立身处世 利害得失 利时及物 烈士徇名 流芳百世 流芳后世 柳市花街 龙鸣狮吼 鲁鱼亥豕 鹿驯豕暴 路不拾遗 路无拾遗 绿林豪士 落井下石 落阱下石 马革盛尸 马首是瞻 没石饮羽 没世不渝 没世无称 没世无闻 靡衣玉食 俛拾地芥 名不符实 名不副实 名符其实 名副其实 名山事业 名实相符 名实相副 名士风流 名噪一时 名震一时 明辨是非 抹粉施脂 目不识书 目空一世 目使颐令 目指气使 能者为师 泥名失实 逆施倒行 逆行倒施 年湮世远 年谊世好 朴实无华 曝背食芹 七步成诗 欺世盗名 岂有是理 弃情遗世 千古一时 千秋万世 千岁一时 秦失其鹿 寝食不安 青藜学士 青钱学士 青史流芳 青史留芳 青史留名 轻世傲物 轻世肆志 轻视傲物 情见埶竭 情随事迁 情逐事迁 请自隗始 磬石之固 秋实春华 丧身失节 山枯石死 社威擅势 射石饮羽 摄威擅势 身不遇时 身非木石 神龙失埶 神施鬼设 审几度势 审时度势 慎小事微 生不逢时 生不遇时 生生世世 声价十倍 声势浩大 胜读十年书 盛极一时 盛食厉兵 尸山血海 失时落势 师出无名 师出有名 虱多不痒 诗酒风流 诗礼之家 诗礼之训 诗情画意 诗以言志 诗云子曰 十变五化 十步香车 十成九稳 十风五雨 十寒一暴 十年读书 十年九不遇 十年磨剑 十亲九故 十生九死 十十五五 十室九空 十室九匮 十手争指 十死不问 十死九活 十死一生 十万火急 十万火速 十羊九牧 十雨五风 十战十胜 十捉九着 什袭以藏 什袭珍藏 石沉大海 石赤不夺 石火风烛 石烂海枯 石尤风 时不可失 时和年丰 时和岁丰 时来运来 时清海宴 时殊风异 时移世变 时移世异 时移世易 时移势迁 时移势易 时移俗易 时异事殊 时异势殊 时易世变 时隐时见 时运不济 时运不齐 时至运来 识礼知书 识明智审 识时达变 识时达务 识涂老马 识途老马 识微见几 识微见远 识微知著 识文断字 识字知书 实事求是 实与有力 实至名归 拾陈蹈故 拾掇无遗 食不充饥 食不遑味 食不兼味 食不累味 食不暇饱 食不下咽 食不知味 食不重味 食方于前 食古不化 食饥息劳 食生不化 食宿相兼 食鱼遇鲭 史无前例 矢志不移 矢志不渝 豕分蛇断 豕亥鱼鲁 豕交兽畜 使酒骂坐 使酒骂座 使蚊负山 始末原由 始末缘由 始愿不及此 士死知己 士为知己者死 世代书香 世济其美 世俗之见 世异时移 市道之交 市井无赖 市井之臣 市井之徒 示贬于褒 事不师古 事不宜迟 事不有余 事出有因 事核言直 事齐事楚 事无大小 事以密成 事与原违 事与愿违 势孤力薄 势合形离 势倾天下 势焰熏天 视死犹归 视微知著 视为畏途 视为知己 饰情矫行 拭目以待 拭目以俟 是非得失 是非分明 是是非非 适逢其会 适逢其时 适俗随时 适以相成 舐犊情深 舐犊之爱 释缚焚榇 释知遗形 誓死不渝 噬脐何及 噬脐莫及 噬脐无及 螫手解腕 手不释书 守约施搏 寿陵失步 瘦羊博士 书不释手 书香世家 熟视无睹 鼠首偾事 束手坐视 漱流枕石 漱石枕流 谁是谁非 水枯石烂 水落石出 水石清华 斯事体大 四时之气 夙世冤家 夙世冤业 素不相识 随地随时 随声是非 随时施宜 随时随地 随时制宜 随世沉浮 随事制宜 岁时伏腊 碎骨粉尸 碎尸万段 韬晦待时 陶情适性 讨是寻非 天行时气 田月桑时 途途是道 推食解衣 完事大吉 玩岁愒时 万不失一 万世不易 万世流芳 万世一时 万事大吉 万无一失 逶迤退食 为小失大 违世异俗 唯力是视 唯利是求 唯利是视 唯利是图 唯邻是卜 惟力是视 惟利是命 惟利是求 惟利是视 惟利是图 惟利是逐 文房四士 闻雷失箸 闻噎废食 闻一知十 问安视寝 问安视膳 问寝视膳 问十道百 问一答十 无般不识 无补于事 无待蓍龟 无的放矢 无端生事 无计可施 无济于事 无家无室 无间是非 无名之师 无施不可 无施不效 无时无刻 无事生非 无事生事 无适无莫 吴市之箫 五步成诗 五风十雨 五马分尸 五十步笑百步 五石六鹢 舞文饰智 雾释冰融 希世之宝 希世之珍 稀世之宝 习非成是 下车伊始 下车之始 相安无事 相机行事 相视莫逆 相呴以湿 祥风时雨 向声背实 小己得失 行百里者半九十 行百里者半于九十 休明盛世 修饰边幅 虚骄恃气 虚室生白 虚虚实实 酗酒滋事 靴刀誓死 学识渊博 寻事生非 循名核实 循名覈实 循名课实 烟视媚行 岩穴之士 研经铸史 雁逝鱼沉 燕岱之石 燕市悲歌 仰事俯畜 仰事俯育 仰事俛畜 摇尾求食 药石之言 一般见识 一暴十寒 一介之士 一馈十起 一暝不视 一瞑不视 一目之士 一曝十寒 一身都是胆 一身是胆 一生一世 一时半刻 一时之秀 一式一样 一事不知 一事无成 一室生春 一无是处 一五一十 一元复始 一字师 一字之师 衣单食薄 衣食父母 衣食住行 宜家宜室 宜室宜家 遗落世事 遗世独立 遗世越俗 遗闻轶事 遗闻逸事 颐指风使 颐指气使 以郄视文 易于拾遗 驿使梅花 轶事遗闻 轶闻遗事 逸闻轶事 因时制宜 因事制宜 因势利导 因小失大 因噎废食 因缘为市 引喻失义 引针拾芥 饮冰食檗 饮冰食蘖 饮水食菽 优游自适 有胆有识 有的放矢 有名无实 有钱能使鬼推磨 有钱有势 有声无实 有识之士 有事之秋 有恃无恐 有恃毋恐 有眼不识泰山 有志无时 有志者事竟成 有志之士 于事无补 与时推移 与时消息 与世沉浮 与世浮沉 与世俯仰 与世推移 与世无争 与世偃仰 玉成其事 玉石不分 玉石皆碎 遇事生端 遇事生风 远见卓识 跃跃欲试 云布雨施 云开雾释 云行雨施 运蹇时低 运开时泰 运移时易 运拙时艰 遭逢时会 遭际时会 遭时制宜 遭事制宜 造次行事 造言生事 造谣生事 折箭为誓 折节待士 折节下士 真情实意 枕籍经史 枕流漱石 枕石寝绳 枕石漱流 枕石嗽流 争鸡失羊 正始之音 正视绳行 芝兰之室 指事类情 指天为誓 炙冰使燥 质非文是 栉风酾雨 朱衣使者 诛故贳误 主一无适 柱石之坚 捉班做势 兹事体大 子曰诗云 自食其力 自食其言 自行其是 自以为是 左图右史 左右图史 坐失机宜 坐失事机 坐食山空 坐视不救 坐视成败
shou,,守林人,,,,,爱不释手 碍手碍脚 安分守己 安分守已 安份守己 熬枯受淡 熬清守淡 熬清受淡 白手成家 白手起家 白手兴家 白首不渝 白首空归 白首齐眉 白首相知 白首一节 百龄眉寿 抱诚守真 背腹受敌 不龟手药 不可收拾 布衣黔首 彻首彻尾 吃惊受怕 出手得卢 触手可及 触手生春 摧身碎首 措手不及 大打出手 大请大受 大手大脚 待时守分 待兔守株 担惊受恐 担惊受怕 耽惊受怕 躭惊受怕 岛瘦郊寒 倒持手板 倒执手版 低首下气 读不舍手 断手续玉 多收并畜 凤仪兽舞 肤受之诉 肤受之愬 肤受之言 福寿齐天 俯首就缚 负手之歌 腹背受敌 骨瘦形销 归正邱首 归正守丘 归正首丘 归正首邱 龟鹤遐寿 龟年鹤寿 韩寿分香 皓首苍颜 后手不接 慌手慌脚 坚守不渝 兼收并录 兼收并畜 兼收并蓄 监守自盗 见危授命 剑首一吷 郊寒岛瘦 洁身自守 酒酸不售 颗粒无收 恪守不渝 临危受命 临危授命 马首是瞻 美不胜收 名利双收 末学肤受 墨守成规 目送手挥 期颐之寿 棋逢敌手 轻手轻脚 伸手不见五指 身首异处 身首异地 神不收舍 神不守舍 神龙见首 神龙见首不见尾 十手争指 豕交兽畜 螫手解腕 收成弃败 收回成命 收之桑榆 手不释书 手不土 手到病除 手到拈来 手到擒来 手挥目送 手脚无措 手零脚碎 手无缚鸡之力 手下留情 守节不移 守约施搏 守正不回 守株待兔 首丘之情 首善之地 首身分离 首尾相继 首尾相卫 首尾相援 寿不压职 寿陵失步 寿山福 狩岳巡方 授受不亲 授业解惑 瘦骨嶙嶙 瘦骨嶙峋 瘦羊博士 书不释手 鼠首偾事 束身受命 束手待死 束手缚脚 束手就缚 束手就禽 束手就擒 束手就殪 束手束脚 束手无措 束手无计 束手无术 束手坐视 私相授受 松柏之寿 天授地设 挑肥拣瘦 畏首畏尾 五积六受 五脊六兽 洗手奉职 相安相受 小手小脚 循涂守辙 循途守辙 延年益寿 仰首伸眉 一麾出守 一揽包收 一手包办 一手一脚 一手遮天 颐神养寿 颐性养寿 以售其奸 益寿延年 因循守旧 引颈受戮 越瘦秦肥 殒身碎首 珍禽奇兽 珍禽异兽 正己守道 支手舞脚 知白守黑 织白守黑 指手划脚 指手画脚 主守自盗 驻颜益寿 着手成春 自作自受 坐收渔利
shu,黍,,,,,,按兵束甲 案兵束甲 百密一疏 百身何赎 百身莫赎 半生半熟 半生不熟 备位充数 不辨菽麦 不辨菽粟 不辩菽麦 不计其数 不可胜数 不失黍絫 不爽累黍 不学无术 布帛菽粟 布衣蔬食 鸱鸦嗜鼠 出处殊涂 出处殊途 春树暮云 刺股读书 大败亏输 大书特书 丹书白马 刀山剑树 读书得间 独树一帜 独竖一帜 咄咄书空 分身无术 分宵达曙 风景不殊 蜉蝣撼大树 各抒己见 孤雏腐鼠 褐衣蔬食 黄麻紫书 回春之术 讳树数马 火树琪花 火树银花 稷蜂社鼠 驾轻就熟 蒹葭倚玉树 简丝数米 剑树刀山 教亦多术 借书留真 枯树逢春 枯树开花 枯树生花 枯树生华 滥竽充数 历历可数 立地书厨 立地书橱 临池学书 柳眉倒竖 柳眉剔竖 柳眉踢竖 龙兴云属 马捉老鼠 麦秀黍离 目不识书 目不知书 沐露梳风 沐雨梳风 暮云春树 爬梳洗剔 曝书见竹 琪花玉树 起偃为竖 亲疏贵贱 琴棋书画 轻车熟道 轻车熟路 情恕理遣 桑枢畒牖 桑枢韦带 深刺腧髓 神情不属 神枢鬼藏 神输鬼运 神运鬼输 胜读十年书 十年读书 时殊风异 时异事殊 时异势殊 识礼知书 识字知书 世代书香 手不释书 书不释手 书读五车 书空咄咄 书生之见 书香世家 殊方异域 殊深轸念 殊勋异绩 梳文栉字 疏不间亲 舒眉展眼 熟读深思 熟路轻车 熟路轻辙 熟视无睹 熟思审处 暑雨祁寒 黍离麦秀 黍油麦秀 鼠首偾事 鼠穴寻羊 曙后星孤 束贝含犀 束兵秣马 束蒲为脯 束身就缚 束身受命 束身自爱 束身自好 束身自修 束手待死 束手缚脚 束手就缚 束手就禽 束手就擒 束手就殪 束手束脚 束手无措 束手无计 束手无术 束手坐视 束修自好 束缊请火 束蕴乞火 束蕴请火 树德务滋 树俗立化 树元立嫡 竖子成名 数不胜数 数黄道白 数黄道黑 漱流枕石 漱石枕流 私淑弟子 四书五经 徒读父书 梧鼠五技 梧鼠之技 五尺竖子 五谷丰熟 鼷鼠饮河 鸮鸣鼠暴 学书学剑 旬输月送 偃鼠饮河 燕颔书生 仰屋著书 仰屋着书 瑶林玉树 一介书生 一树百获 以戈舂黍 以狸至鼠 以狸致鼠 以貍至鼠 以书为御 以疏间亲 蚁溃鼠骇 因树为屋 殷浩书空 银花火树 饮河鼹鼠 饮水食菽 有脚书厨 有脚书橱 鱼笺雁书 鱼书雁帛 玉树临风 玉树芝兰 云泥殊路 云树遥隔 云树之思 展眼舒眉 折节读书 枕经籍书 枕流漱石 枕石漱流 枕石嗽流 枕岩漱流 芝兰玉树 枝叶扶疏 知书达礼 直抒己见 咫尺之书 指树为姓 掷鼠忌器 驻颜有术 自树一帜 左书右息 左图右书 坐树不言 坐树无言
shuang,,双月 霜华,霜叶,,,,傲霜斗雪 傲雪凌霜 傲雪欺霜 饱经风霜 饱经霜雪 不爽累黍 春露秋霜 慈明无双 斗霜傲雪 飞霜六月 分毫不爽 分毫无爽 风刀霜剑 风霜雨雪 福慧双修 福无双至 毫厘不爽 积雪封霜 久经风霜 六月飞霜 名利双收 沐露沾霜 沐雨经霜 欺霜傲雪 神清气爽 双凫一雁 双栖双宿 双宿双飞 霜露之悲 霜露之病 霜露之辰 霜露之思 天下无双 五月飞霜 雨鬣霜蹄 陨雹飞霜 栉霜沐露 锱铢不爽
shui,水月,,,,,,白山黑水 杯水粒粟 杯水之敬 悲歌易水 背水一战 冰寒于水 不便水土 不服水土 不习水土 不習水土 车水马龙 趁水和泥 出水芙蓉 楚水吴山 春风沂水 大禹治水 淡水交情 滴水不羼 滴水成冰 滴水成河 斗升之水 斗水活鳞 芙蓉出水 海水桑田 涸鲋得水 涸鱼得水 黄尘清水 黄河水清 积水成渊 兼葭秋水 煎水作冰 蛟龙得水 蛟龙戏水 镜花水月 流年似水 流水落花 流水桃花 流水无情 流水行云 流水游龙 露水夫妻 陆詟水栗 落花流水 马龙车水 马水车龙 买臣覆水 名山胜水 爬山涉水 千山万水 千水万山 青蓝冰水 轻徭薄税 清尘浊水 清水无大鱼 山眉水眼 山明水秀 山清水秀 山遥水远 谁是谁非 水到鱼行 水底捞月 水底捞针 水底摸月 水火兵虫 水火不辞 水火不兼容 水火不相容 水火无交 水火无情 水洁冰清 水枯石烂 水来土掩 水流花落 水落石出 水米无交 水明山秀 水母目虾 水木清华 水清无鱼 水石清华 水宿山行 水土不服 水性杨花 水秀山明 水远山遥 水月镜花 睡眼惺忪 似水流年 桃花流水 万水千山 污泥浊水 吾谁与归 行云流水 姓甚名谁 秀水明山 杨花水性 一衣带水 沂水春风 沂水舞雩 以水济水 以水救水 以水洗血 饮水辨源 饮水食菽 饮水思源 饮水知源 游山玩水 盂方水方 鱼大水小 鱼水深情 沾泥带水 置水之情 重山复水 竹篮打水 酌水知源 自相水火
si,斯卡蒂 伺夜,四月,,,,,哀丝豪竹 爱生恶死 百思不得其解 百思不解 百思莫解 百死一生 板板六十四 版版六十四 半死半生 半死不活 半死辣活 鲍鱼之肆 秉正无私 不得其死 不顾死活 不好意思 不可思议 不死不活 不徇私情 不知死活 沉思默想 乘间伺隙 楚歌四合 楚歌四起 春深似海 莼鲈之思 大肆挥霍 呆似木鸡 蹈节死义 砥志研思 放意肆志 分厘毫丝 风木之思 风情月思 烽火四起 负乘斯夺 各司其事 顾名思义 豪竹哀丝 好语似珠 赫斯之威 红豆相思 回生起死 彗汜画涂 计出万死 兼爱无私 蒹葭之思 简丝数米 见鞍思马 见德思齐 见利思义 见死不救 见异思迁 狡焉思逞 狡焉思启 狡焉思肆 街坊四邻 九死不悔 九死未悔 九死一生 救死扶危 刻骨相思 枯木死灰 枯鱼之肆 苦身焦思 苦思冥想 窥间伺隙 劳身焦思 劳思逸淫 力竭声嘶 流年似水 马迹蛛丝 昧死以闻 名扬四海 冥思苦想 瞑思苦想 墨子泣丝 七生七死 七死七生 起死回生 气竭声嘶 气竭声澌 千生万死 千思万想 前思后想 潜精积思 潜精研思 青衫司马 青丝白马 轻世肆志 情深似海 山枯石死 生寄死归 生老病死 生荣死哀 生生死死 生死不渝 生死未卜 生死相依 生死予夺 生死之交 声嘶力竭 十生九死 十死不问 十死九活 十死一生 士死知己 士为知己者死 视死犹归 拭目以俟 誓死不渝 熟读深思 熟思审处 束手待死 霜露之思 司马称好 司马青衫 私淑弟子 私相授受 思不出位 思妇病母 思归其雌 思前想后 思深忧远 思绪万千 斯事体大 斯斯文文 死败涂地 死不瞑目 死里求生 死里逃生 死模活样 死乞白赖 死乞百赖 死气沉沉 死求白赖 死求百赖 死声唃气 死声活气 死声淘气 死样活气 死有余辜 死有余僯 死有余诛 死于非命 死欲速朽 四百四病 四冲六达 四大皆空 四方之志 四分五裂 四分五落 四纷五落 四海波静 四海承风 四海为家 四海一家 四郊多垒 四清六活 四山五岳 四时之气 四书五经 四体百骸 四体不勤 四姻九戚 四战之地 四肢百骸 四肢百体 伺瑕导隙 伺瑕抵隙 似水流年 似笑非笑 驷不及舌 驷马仰秣 俟河之清 肆无忌惮 肆行无忌 虽死犹生 体大思精 涕泗交流 涕泗交下 涕泗交颐 吐丝自缚 兔丝燕麦 万死不辞 万死一生 万死犹轻 危机四伏 微服私行 微机四伏 文房四宝 文房四侯 文房四士 文房四物 文房四艺 闻声相思 无间可伺 无私有意 五车腹笥 霞思天想 霞思云想 孝思不匮 行成于思 行思坐想 行思坐忆 朽木死灰 靴刀誓死 寻死觅活 寻瑕伺隙 严丝合缝 研精殚思 研精苦思 研精致思 眼空四海 扬名四海 养生丧死 养生送死 要死要活 一己之私 一谦四益 一生九死 一丝半粟 一丝不紊 一丝一毫 一死一生 一至于斯 遗风余思 疑似之间 亿万斯年 忆苦思甜 饮水思源 忧深思远 于安思危 云悲海思 云树之思 正直无私 之死不渝 止渴思梅 至死不变 至死不悟 至死不渝 治丝益棼 置之死地 铢积丝累 蛛丝马迹 捉生替死 浞訾栗斯 自私自利 恣肆无忌 左思右想
song,,送葬人,松果,,,,暗送秋波 班香宋艳 包揽词讼 苍松翠柏 触目成诵 词清讼简 调词架讼 鹤骨松姿 刻不容松 目送手挥 杞宋无征 善颂善祷 手挥目送 睡眼惺忪 松柏之寿 松柏之志 松形鹤骨 耸膊成山 耸壑凌霄 宋画吴冶 送佛送到西 送眼流眉 岁寒松柏 岁寒知松柏 涂歌邑诵 旬输月送 养生送死 玉洁松贞 早韭晚菘 贞松劲柏
su,塑心,,苏苏洛,,,,爱素好古 杯水粒粟 变风易俗 变古易俗 变俗易教 兵贵神速 兵闻拙速 不辨菽粟 不落俗套 不速之客 布帛菽粟 沧海一粟 沉疴宿疾 尺布斗粟 楚楚谡谡 滴粉搓酥 调风变俗 斗粟尺布 飞刍挽粟 忿世嫉俗 愤时疾俗 愤世疾俗 愤世嫉俗 肤受之诉 肤受之愬 肤粟股栗 负俗之讥 负俗之累 革风易俗 诡雅异俗 鬼哭粟飞 好丹非素 怀真抱素 毁风败俗 积素累旧 积习成俗 艰苦朴素 浇风薄俗 矫世变俗 矫世厉俗 矫世励俗 惊世骇俗 惊世震俗 惊愚骇俗 救时厉俗 离世异俗 历兵粟马 厉兵粟马 利深祸速 林寒涧肃 流风余俗 朴素无华 迁风移俗 山肴野蔌 删华就素 十万火速 时移俗易 食宿相兼 世俗之见 适俗随时 树俗立化 双栖双宿 双宿双飞 死欲速朽 俗不可医 俗下文字 夙世冤家 夙世冤业 夙兴昧旦 夙兴夜处 夙兴夜寐 夙夜不解 夙夜匪解 素不相能 素不相识 素车白马 溯端竟委 溯流求源 随俗沉浮 随俗浮沉 太仓一粟 讨流溯源 天粟马角 威刑肃物 违世异俗 违乡负俗 物殷俗阜 习俗移性 习以成俗 相沿成俗 相知有素 晓行夜宿 雁素鱼笺 扬清厉俗 野蔌山肴 一丝半粟 移风革俗 移风易俗 移风振俗 遗风旧俗 遗风余俗 遗世越俗 易俗移风 欲速不达 枝叶扶苏
suan,,,酸糖,,,,不可胜算 龟龄鹤算 龟年鹤算 尖酸刻薄 精打细算 酒酸不售 深图远算 神谟远算 酸甜苦辣 甜酸苦辣 渊图远算
sui,,燧石,,,,,百岁千秋 百岁之好 百岁之后 百衣百随 百依百随 半身不遂 暴戾恣睢 剥肤及髓 不随以止 摧身碎首 粉骨碎身 粉身碎骨 抚绥万方 鬼鬼祟祟 花花太岁 积年累岁 积岁累月 箕引裘随 径情直遂 径行直遂 澜倒波随 零珠碎玉 龙血凤髓 年深岁久 绮纨之岁 千秋万岁 千岁鹤归 千岁一时 迁延岁月 情随事迁 深刺腧髓 时和岁丰 适俗随时 手零脚碎 虽覆能复 虽死犹生 隋侯之珠 隋珠和玉 随波逐尘 随波逐流 随车夏雨 随车致雨 随地随时 随方就圆 随方逐圆 随风倒舵 随声附和 随声是非 随时施宜 随时随地 随时制宜 随世沉浮 随事制宜 随俗沉浮 随俗浮沉 随物赋形 随寓随安 随圆就方 随珠荆玉 岁寒松柏 岁寒知松柏 岁暮天寒 岁时伏腊 岁聿其莫 岁聿云暮 岁月峥嵘 遂迷不竝 遂迷不寤 碎骨粉身 碎骨粉尸 碎身粉骨 碎尸万段 碎玉零玑 天年不遂 玩岁愒时 玩岁愒月 万岁千秋 香消玉碎 修短随化 言出祸随 一岁九迁 优游岁月 逾年历岁 玉石皆碎 玉碎香消 玉碎香销 玉碎珠沉 殒身碎首 凿骨捣髓 峥嵘岁月 珠沉玉碎 恣睢无忌
tai,,,,,,泰拉大陆调查团,变态百出 不识泰山 楚楚作态 大璞不完 倒持太阿 风云变态 故态复作 后台老板 花花太岁 怀着鬼胎 骄泰淫泆 开台锣鼓 刳胎焚夭 柳腰花态 千姿百态 千姿万态 神融气泰 台阁生风 太仓稊米 太仓一粟 太山北斗 泰山北斗 泰山其颓 天台路迷 相煎太急 惺惺作态 雪胎梅骨 仪态万方 仪态万千 有眼不识泰山 运开时泰
tao,,,桃金娘,,,,逋逃之臣 不落俗套 仓皇出逃 陈言老套 吃力不讨好 断袖余桃 富埒陶白 号啕大哭 李白桃红 流水桃花 柳夭桃艳 鲁鱼陶阴 马腹逃鞭 跑龙套 遣兴陶情 擒奸讨暴 死里逃生 死声淘气 滔滔不断 滔滔不竭 滔滔汩汩 韬戈偃武 韬晦待时 韬晦之计 韬迹隐智 韬神晦迹 韬声匿迹 逃之夭夭 桃花流水 桃来李答 桃李遍天下 桃李成蹊 桃李春风 桃李精神 桃李争妍 桃李之教 桃李之馈 桃蹊柳陌 桃腮柳眼 桃夭李艳 桃夭柳媚 桃之夭夭 陶情适性 陶熔鼓铸 陶陶兀兀 讨类知原 讨流溯源 讨是寻非 熏陶成性 沿波讨源 沿流讨源 以桃代李 诛暴讨逆 自讨苦吃
te,,特米米,,,,,大错特错 大书特书 特立独行
